plan_id,mode,amplitude_m,pavage,n_pieces,valide_avant,valide_apres,deplacement_max_m,temps_ms,statut,seed
b344712aedd977ff94edd5d6064e6f27,aplatir,0.5,False,8,False,False,,4.711,invariant_viole,3839118022
b344712aedd977ff94edd5d6064e6f27,aplatir,0.5,True,8,False,True,0.500000,7.667,ok,3839118022
b344712aedd977ff94edd5d6064e6f27,aplatir,1.0,False,8,False,False,,4.484,invariant_viole,2339384207
b344712aedd977ff94edd5d6064e6f27,aplatir,1.0,True,8,False,True,1.000000,9.862,ok,2339384207
f018226b3c45b2499741cfa0408c9ff8,deplacer,0.1,False,11,False,True,0.100000,5.771,ok,2966084143
f018226b3c45b2499741cfa0408c9ff8,deplacer,0.1,True,11,False,True,0.100000,6.425,ok,2966084143
f018226b3c45b2499741cfa0408c9ff8,deplacer,0.25,False,11,False,True,0.250000,5.529,ok,1408834641
f018226b3c45b2499741cfa0408c9ff8,deplacer,0.25,True,11,False,True,0.250000,6.136,ok,1408834641
f018226b3c45b2499741cfa0408c9ff8,deplacer,0.5,False,11,False,True,0.500000,6.276,ok,200194164
f018226b3c45b2499741cfa0408c9ff8,deplacer,0.5,True,11,False,True,0.500000,6.339,ok,200194164
f018226b3c45b2499741cfa0408c9ff8,deplacer,1.0,False,11,False,False,,5.452,invariant_viole,757889906
f018226b3c45b2499741cfa0408c9ff8,deplacer,1.0,True,11,False,True,1.000000,6.251,ok,757889906
f018226b3c45b2499741cfa0408c9ff8,elargir,0.1,False,11,False,True,0.100000,5.770,ok,2977156607
f018226b3c45b2499741cfa0408c9ff8,elargir,0.1,True,11,False,True,0.100000,6.291,ok,2977156607
f018226b3c45b2499741cfa0408c9ff8,elargir,0.25,False,11,False,True,0.250000,5.652,ok,906814900
f018226b3c45b2499741cfa0408c9ff8,elargir,0.25,True,11,False,True,0.250000,6.296,ok,906814900
f018226b3c45b2499741cfa0408c9ff8,elargir,0.5,False,11,False,True,0.500000,7.231,ok,3583769830
f018226b3c45b2499741cfa0408c9ff8,elargir,0.5,True,11,False,True,0.500000,7.042,ok,3583769830
f018226b3c45b2499741cfa0408c9ff8,elargir,1.0,False,11,False,False,,7.556,invariant_viole,1949556582
f018226b3c45b2499741cfa0408c9ff8,elargir,1.0,True,11,False,True,1.000000,10.750,ok,1949556582
f018226b3c45b2499741cfa0408c9ff8,retrecir,0.1,False,11,False,False,,5.892,invariant_viole,2539648878
f018226b3c45b2499741cfa0408c9ff8,retrecir,0.1,True,11,False,True,0.100000,6.337,ok,2539648878
f018226b3c45b2499741cfa0408c9ff8,retrecir,0.25,False,11,False,False,,6.215,invariant_viole,939544355
f018226b3c45b2499741cfa0408c9ff8,retrecir,0.25,True,11,False,True,0.250000,6.807,ok,939544355
f018226b3c45b2499741cfa0408c9ff8,retrecir,0.5,False,11,False,False,,5.661,invariant_viole,3878479901
f018226b3c45b2499741cfa0408c9ff8,retrecir,0.5,True,11,False,True,0.500000,6.111,ok,3878479901
f018226b3c45b2499741cfa0408c9ff8,retrecir,1.0,False,11,False,False,,5.179,invariant_viole,3167040148
f018226b3c45b2499741cfa0408c9ff8,retrecir,1.0,True,11,False,True,0.827621,7.186,ok,3167040148
f018226b3c45b2499741cfa0408c9ff8,aplatir,0.1,False,11,False,False,,5.292,invariant_viole,4121674676
