plan_id,amplitude_m,pavage,valid_before,status,valid_after,seed,max_displacement_m
syn-0035,0.25,False,False,ok,True,17355,0.250000
syn-0035,0.25,True,False,ok,True,17355,0.250000
syn-0035,0.5,False,False,ok,True,17360,0.500000
syn-0035,0.5,True,False,ok,True,17360,0.500000
syn-0036,0.1,False,False,InvariantViole,False,17362,
syn-0036,0.1,True,False,ok,True,17362,0.100000
syn-0036,0.25,False,False,InvariantViole,False,17365,
syn-0036,0.25,True,False,ok,True,17365,0.250000
syn-0036,0.5,False,False,InvariantViole,False,17370,
syn-0036,0.5,True,False,ok,True,17370,0.500000
syn-0037,0.1,False,False,ok,True,17372,0.100000
syn-0037,0.1,True,False,ok,True,17372,0.100000
syn-0037,0.25,False,False,InvariantViole,False,17375,
syn-0037,0.25,True,False,ok,True,17375,0.250000
syn-0037,0.5,False,False,ok,True,17380,0.500000
syn-0037,0.5,True,False,ok,True,17380,0.500000
syn-0038,0.1,False,False,InvariantViole,False,17382,
syn-0038,0.1,True,False,ok,True,17382,0.100000
syn-0038,0.25,False,False,ok,True,17385,0.250000
syn-0038,0.25,True,False,ok,True,17385,0.250000
syn-0038,0.5,False,False,InvariantViole,False,17390,
syn-0038,0.5,True,False,ok,True,17390,0.500000
syn-0039,0.1,False,False,ok,True,17392,0.100000
syn-0039,0.1,True,False,ok,True,17392,0.100000
syn-0039,0.25,False,False,InvariantViole,False,17395,
syn-0039,0.25,True,False,ok,True,17395,0.250000
syn-0039,0.5,False,False,InvariantViole,False,17400,
syn-0039,0.5,True,False,ok,True,17400,0.500000
syn-0040,0.1,False,False,InvariantViole,False,17402,
syn-0040,0.1,True,False,ok,True,17402,0.100000
syn-0040,0.25,False,False,InvariantViole,False,17405,
syn-0040,0.25,True,False,ok,True,17405,0.250000
syn-0040,0.5,False,False,ok,True,17410,0.500000
syn-0040,0.5,True,False,ok,True,17410,0.500000
syn-0041,0.1,False,False,InvariantViole,False,17412,
syn-0041,0.1,True,False,ok,True,17412,0.100000
syn-0041,0.25,False,False,InvariantViole,False,17415,
syn-0041,0.25,True,False,ok,True,17415,0.250000
syn-0041,0.5,False,False,InvariantViole,False,17420,
syn-0041,0.5,True,False,ok,True,17420,0.500000
syn-0042,0.1,False,False,InvariantViole,False,17422,
syn-0042,0.1,True,False,ok,True,17422,0.100000
syn-0042,0.25,False,False,ok,True,17425,0.250000
syn-0042,0.25,True,False,ok,True,17425,0.250000
syn-0042,0.5,False,False,InvariantViole,False,17430,
syn-0042,0.5,True,False,ok,True,17430,0.500000
syn-0043,0.1,False,False,ok,True,17432,0.100000
syn-0043,0.1,True,False,ok,True,17432,0.100000
syn-0043,0.25,False,False,InvariantViole,False,17435,
syn-0043,0.25,True,False,ok,True,17435,0.250000
syn-0043,0.5,False,False,ok,True,17440,0.500000
syn-0043,0.5,True,False,ok,True,17440,0.500000
syn-0044,0.1,False,False,InvariantViole,False,17442,
syn-0044,0.1,True,False,ok,True,17442,0.100000
syn-0044,0.25,False,False,ok,True,17445,0.250000
syn-0044,0.25,True,False,ok,True,17445,0.250000
syn-0044,0.5,False,False,InvariantViole,False,17450,
syn-0044,0.5,True,False,ok,True,17450,0.500000
syn-0045,0.1,False,False,InvariantViole,False,17452,
syn-0045,0.1,True,False,ok,True,17452,0.100000
syn-0045,0.25,False,False,InvariantViole,False,17455,
syn-0045,0.25,True,False,ok,True,17455,0.250000
syn-0045,0.5,False,False,ok,True,17460,0.500000
syn-0045,0.5,True,False,ok,True,17460,0.500000
syn-0046,0.1,False,False,InvariantViole,False,17462,
syn-0046,0.1,True,False,ok,True,17462,0.100000
syn-0046,0.25,False,False,InvariantViole,False,17465,
syn-0046,0.25,True,False,ok,True,17465,0.250000
syn-0046,0.5,False,False,ok,True,17470,0.500000
syn-0046,0.5,True,False,ok,True,17470,0.500000
syn-0047,0.1,False,False,InvariantViole,False,17472,
syn-0047,0.1,True,False,ok,True,17472,0.100000
syn-0047,0.25,False,False,InvariantViole,False,17475,
syn-0047,0.25,True,False,ok,True,17475,0.250000
syn-0047,0.5,False,False,ok,True,17480,0.500000
syn-0047,0.5,True,False,ok,True,17480,0.500000
syn-0048,0.1,False,False,ok,True,17482,0.100000
